appid,collected_utc,total_positive,total_negative,total_reviews,pct_positive,review_score,review_score_desc,name,type,coming_soon,release_date,price_cents,is_free,metacritic_score,recommendations,achievements_total,platform_windows,platform_mac,platform_linux,n_languages,dlc_count,categories,genres,controller_support,developers,publishers,owners_lo,owners_hi,owners_estimate,steamspy_tags,steamspy_n_languages,concurrent_players
254760,2026-06-03T05:35:21.198309,66,13,79,0.8354430379746836,8,Very Positive,Empire Earth: Gold Edition,game,False,"May 26, 2026",599,False,,,,True,False,False,1,0,Single-player|Family Sharing,Strategy,,Stainless Steel Studios|Mad Doc Software|Xtended Realities,Rebellion,0,20000,10000,,1,45
342940,2026-06-03T05:35:21.198309,4023,844,4867,0.826587220053421,8,Very Positive,Project: Gorgon,game,False,"Jan 28, 2026",2499,False,,4507.0,,True,True,True,1,2,Single-player|Multi-player|MMO|Cross-Platform Multiplayer|Adjustable Text Size|Camera Comfort|Color Alternatives|Custom Volume Controls|Stereo Sound,Indie|Massively Multiplayer|RPG,,"Elder Game, LLC","Elder Game, LLC",20000,50000,35000,Massively Multiplayer|RPG|Indie|MMORPG|Early Access|Fantasy|Open World|Sandbox|Crafting|Adventure|Sexual Content,1,360
347660,2026-06-03T05:35:21.198309,64,12,76,0.8421052631578947,8,Very Positive,Caromble!,game,False,"Apr 22, 2026",1299,False,,,41.0,True,False,True,11,0,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Steam Cloud|Steam Leaderboards|Remote Play on TV|Family Sharing,Action|Casual|Indie,full,Crimson Owl Studios,Crimson Owl Studios,0,20000,10000,Early Access|Arcade|Pinball|Action|Physics|Indie|Precision Platformer|Steampunk|Puzzle-Platformer|Score Attack|Casual|Bullet Time|3D|2.5D|Destruction|Retro|Old School|3D Platformer|Platformer|Remake,11,0
371580,2026-06-03T05:35:21.198309,15,8,23,0.6521739130434783,5,Mixed,Catjong 2: Pawprints in the Snow,game,False,"Jan 13, 2026",0,True,,,18.0,True,True,False,12,1,Single-player|Steam Achievements,Casual|Free To Play,,Best Place Apps,Best Place Apps,0,20000,10000,,0,0
380110,2026-06-03T05:35:21.198309,60,23,83,0.7228915662650602,6,Mostly Positive,In The Black,game,False,"May 5, 2026",1999,False,,,,True,False,False,1,0,Single-player|Multi-player|PvP|Online PvP|Partial Controller Support|Steam Cloud|Family Sharing,Action|Indie|Simulation|Early Access,,Impeller Studios,Impeller Studios|Exothermic,0,20000,10000,,1,2
428910,2026-06-03T05:35:21.198309,15,7,22,0.6818181818181818,5,Mixed,Red Fox and the Four Seasons,game,False,"Jan 10, 2026",499,False,,,,True,False,False,1,3,Single-player|Steam Trading Cards|Family Sharing,Action|Adventure|Casual|Indie,,Boogygames Studios,Boogygames Studios,20000,50000,35000,Side Scroller|2D Platformer|Cute|Family Friendly|Hand-drawn|Adventure|Colorful|Cartoon|2D|Singleplayer|Casual|Exploration|Indie|Cartoony|Action|Magic|Mystery|Snow|Early Access|Runner,1,0
465490,2026-06-03T05:35:21.198309,1317,369,1686,0.7811387900355872,6,Mostly Positive,Stellar Tactics,game,False,"Mar 30, 2026",2499,False,,1619.0,40.0,True,False,False,5,1,Single-player|Steam Achievements|Steam Cloud|Family Sharing,Adventure|Indie|RPG|Strategy,,Don Wilkins,Maverick Games,100000,200000,150000,CRPG|RPG|Party-Based RPG|Character Customization|Tactical RPG|Turn-Based Combat|Isometric|Open World|Post-apocalyptic|Sandbox|Sci-fi|Turn-Based Tactics|Singleplayer|Space|Early Access|Indie|Turn-Based|Adventure|Strategy|Exploration,5,30
491540,2026-06-03T05:35:21.198309,5873,2195,8068,0.7279375309866137,6,Mostly Positive,The Bus,game,False,"Mar 26, 2026",3999,False,,7467.0,49.0,True,False,False,16,1,Single-player|Multi-player|Co-op|Online Co-op|Full controller support|Steam Workshop|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Keyboard Only Option|Mouse Only Option|Playable without Timed Input|Save Anytime|Subtitle Options|Surround Sound|Steam Cloud|Includes level editor|Family Sharing,Simulation,full,TML-Studios,Aerosoft GmbH,200000,500000,350000,Simulation|Driving|Automobile Sim|Multiplayer|Realistic|Relaxing|First-Person|Early Access|Moddable|Atmospheric|Singleplayer|Level Editor|Economy|Open World|Management|Time Management|Tutorial|Transportation|Casual|Exploration,16,68
538030,2026-06-03T05:35:21.198309,4343,974,5317,0.8168139928531126,8,Very Positive,Xenonauts 2,game,False,"Apr 2, 2026",2599,False,82.0,4405.0,20.0,True,False,False,11,0,Single-player|Steam Achievements|Steam Trading Cards|Camera Comfort|Custom Volume Controls|Adjustable Difficulty|Mouse Only Option|Playable without Timed Input|Save Anytime|Stereo Sound|Steam Cloud|Family Sharing,RPG|Simulation|Strategy,,Goldhawk Interactive,Hooded Horse,100000,200000,150000,Strategy|Simulation|Turn-Based Strategy|Wargame|War|Turn-Based Tactics|Sci-fi|4X|Sandbox|Grand Strategy|Tactical|Military|Management|Singleplayer|Turn-Based|Turn-Based Combat|Moddable|RPG|Character Customization|Early Access,11,248
555400,2026-06-03T05:35:21.198309,227,87,314,0.7229299363057324,6,Mostly Positive,Collision Course,game,False,"May 29, 2026",1199,False,,293.0,21.0,True,False,False,1,0,Single-player|Partial Controller Support|Family Sharing,Action|Adventure|Indie,,Crynosaurs,Crynosaurs,20000,50000,35000,Adventure|Action|Indie|Dinosaurs|Early Access|Survival|FPS|Open World|First-Person|Multiplayer,1,1
